686 Garland Manor,,Cear,Juazeiro do Norte,52535,69493378813,Brazil
32 Liaocheng Way,,Minas Gerais,Juiz de Fora,1944,410877354933,Brazil
1839 Szkesfehrvr Parkway,,Gois,Luzinia,55709,947468818183,Brazil
829 Grand Prairie Way,,Paran,Maring,6461,741070712873,Brazil
1666 Qomsheh Drive,,So Paulo,Po,66255,582835362905,Brazil
1338 Zalantun Lane,,Minas Gerais,Poos de Caldas,45403,840522972766,Brazil
1206 Dos Quebradas Place,,So Paulo,Rio Claro,20207,241832790687,Brazil
1891 Rizhao Boulevard,,So Paulo,Santa Brbara dOeste,47288,391065549876,Brazil
519 Nyeri Manor,,So Paulo,Santo Andr,37650,764680915323,Brazil
1715 Okayama Street,,So Paulo,So Bernardo do Campo,55676,169352919175,Brazil
614 Denizli Parkway,,Rio Grande do Sul,So Leopoldo,29444,876491807547,Brazil
1957 Yantai Lane,,So Paulo,Sorocaba,59255,704948322302,Brazil
306 Antofagasta Place,,Esprito Santo,Vila Velha,3989,378318851631,Brazil
1133 Rizhao Avenue,,Pernambuco,Vitria de Santo Anto,2800,600264533987,Brazil
1370 Le Mans Avenue,,Brunei and Muara,Bandar Seri Begawan,52163,345679835036,Brunei
191 Jos Azueta Parkway,,Ruse,Ruse,13629,932156667696,Bulgaria
1229 Valencia Parkway,,Haskovo,Stara Zagora,99124,352679173732,Bulgaria
1768 Udine Loop,,Battambang,Battambang,32347,448876499197,Cambodia
754 Valencia Place,,Phnom Penh,Phnom Penh,87911,594319417514,Cambodia
1641 Changhwa Place,,Nord-Ouest,Bamenda,37636,256546485220,Cameroon
114 Jalib al-Shuyukh Manor,,Centre,Yaound,60440,845378657301,Cameroon
1153 Allende Way,,Qubec,Gatineau,20336,856872225376,Canada
1844 Usak Avenue,,Nova Scotia,Halifax,84461,164414772677,Canada
47 MySakila Drive,,Alberta,Lethbridge,,,Canada
23 Workhaven Lane,,Alberta,Lethbridge,,14033335568,Canada
891 Novi Sad Manor,,Ontario,Oshawa,5379,247646995453,Canada
432 Garden Grove Street,,Ontario,Richmond Hill,65630,615964523510,Canada
983 Santa F Way,,British Colombia,Vancouver,47472,145720452260,Canada
195 Ilorin Street,,Chari-Baguirmi,NDjamna,49250,8912935608,Chad
1718 Valencia Street,,Antofagasta,Antofagasta,37359,675292816413,Chile
568 Dhule (Dhulia) Loop,,Coquimbo,Coquimbo,92568,602101369463,Chile
1872 Toulon Loop,,OHiggins,Rancagua,7939,928809465153,Chile
183 Haiphong Street,,Jilin,Baicheng,69953,488600270038,China
362 Rajkot Lane,,Gansu,Baiyin,98030,962020153680,China
1332 Gaziantep Lane,,Shandong,Binzhou,22813,383353187467,China
817 Bradford Loop,,Jiangsu,Changzhou,89459,264286442804,China
1158 Mandi Bahauddin Parkway,,Shanxi,Datong,98484,276555730211,China
1966 Amroha Avenue,,Sichuan,Daxian,70385,333489324603,China
1322 Mosul Parkway,,Shandong,Dongying,95400,268053970382,China
753 Ilorin Avenue,,Sichuan,Emeishan,3656,464511145118,China
804 Elista Drive,,Hubei,Enshi,61069,379804592943,China
1774 Yaound Place,,Hubei,Ezhou,91400,613124286867,China
1333 Haldia Street,,Jilin,Fuyu,82161,408304391718,China
1308 Sumy Loop,,Fujian,Fuzhou,30657,583021225407,China
904 Clarksville Drive,,Zhejiang,Haining,52234,955349440539,China
154 Tallahassee Loop,,Xinxiang,Hami,62250,935508855935,China
1587 Sullana Lane,,Inner Mongolia,Hohhot,85769,468060467018,China
500 Lincoln Parkway,,Jiangsu,Huaian,95509,550306965159,China
475 Atinsk Way,,Gansu,Jinchang,59571,201705577290,China
1837 Kaduna Parkway,,Inner Mongolia,Jining,82580,640843562301,China
844 Bucuresti Place,,Liaoning,Jinzhou,36603,935952366111,China
722 Bradford Lane,,Shandong,Junan,90920,746251338300,China
226 Halifax Street,,Xinxiang,Korla,58492,790651020929,China
1560 Jelets Boulevard,,Shandong,Laiwu,77777,189446090264,China
1557 Cape Coral Parkway,,Hubei,Laohekou,46875,368284120423,China
1762 Paarl Parkway,,Hunan,Lengshuijiang,53928,192459639410,China
1052 Pathankot Avenue,,Sichuan,Leshan,77397,128499386727,China
1854 Tieli Street,,Shandong,Liaocheng,15819,509492324775,China
1952 Chatsworth Drive,,Guangdong,Meixian,25958,991562402283,China
1440 Fukuyama Loop,,Henan,Nanyang,47929,912257250465,China
1294 Firozabad Drive,,Jiangxi,Pingxiang,70618,161801569569,China
1246 Boksburg Parkway,,Hebei,Qinhuangdao,28349,890283544295,China
1060 Tandil Lane,,Shandong,Rizhao,72349,211256301880,China
390 Wroclaw Way,,Hainan,Sanya,5753,357593328658,China
1269 Botosani Manor,,Guangdong,Shanwei,47394,736517327853,China
1909 Dayton Avenue,,Guangdong,Shaoguan,88513,702955450528,China
686 Donostia-San Sebastin Lane,,Guangdong,Shenzhen,97390,71857599858,China
1574 Goinia Boulevard,,Heilongjiang,Suihua,39529,59634255214,China
1760 Oshawa Manor,,Tianjin,Tianjin,38140,56257502250,China
1908 Gaziantep Place,,Liaoning,Tiefa,58979,108053751300,China
1325 Fukuyama Street,,Heilongjiang,Tieli,27107,288241215394,China
105 Dzerzinsk Manor,,Inner Mongolia,Tongliao,48570,240776414296,China
1464 Kursk Parkway,,Shandong,Weifang,17381,338758048786,China
1103 Bilbays Parkway,,Hubei,Xiangfan,87660,279979529227,China
1586 Guaruj Place,,Hunan,Xiangtan,5135,947233365992,China
415 Pune Avenue,,Shandong,Xintai,44274,203202500108,China
1909 Benguela Lane,,Henan,Xinxiang,19913,624138001031,China
85 San Felipe de Puerto Plata Drive,,Shandong,Yantai,46063,170739645687,China
1297 Alvorada Parkway,,Ningxia,Yinchuan,11839,508348602835,China
1993 0 Loop,,Liaoning,Yingkou,41214,25865528181,China
798 Cianjur Avenue,,Shanxi,Yuncheng,76990,499408708580,China
867 Benin City Avenue,,Henan,Yuzhou,78543,168884817145,China
832 Nakhon Sawan Manor,,Inner Mongolia,Zalantun,49021,275595571388,China
1778 Gijn Manor,,Hubei,Zaoyang,35156,288910576761,China
346 Cam Ranh Avenue,,Zhejiang,Zhoushan,39976,978430786151,China
98 Stara Zagora Boulevard,,Valle,Buenaventura,76448,610173756082,Colombia
241 Mosul Lane,,Risaralda,Dos Quebradas,76157,765345144779,Colombia
734 Tanshui Avenue,,Caquet,Florencia,70664,366776723320,Colombia
1410 Benin City Parkway,,Risaralda,Pereira,29747,104150372603,Colombia
1740 Portoviejo Avenue,,Sucre,Sincelejo,29932,198123170793,Colombia
656 Matamoros Drive,,Boyac,Sogamoso,19489,17305839123,Colombia
514 Ife Way,,Shaba,Lubumbashi,69973,900235712074,Congo\, The Democratic Republic of the
1519 Santiago de los Caballeros Loop,,East Kasai,Mwene-Ditu,22025,409315295763,Congo\, The Democratic Republic of the
682 Halisahar Place,,Severn Morava,Olomouc,20536,475553436330,Czech Republic
1245 Ibirit Way,,La Romana,La Romana,40926,331888642162,Dominican Republic
437 Chungho Drive,,Puerto Plata,San Felipe de Puerto Plata,59489,491271355190,Dominican Republic
532 Toulon Street,,Santiago,Santiago de los Caballeros,69517,46871694740,Dominican Republic
1074 Sanaa Parkway,,Loja,Loja,22474,154124128457,Ecuador
816 Cayenne Parkway,,Manab,Portoviejo,93629,282874611748,Ecuador
1954 Kowloon and New Kowloon Way,,Chimborazo,Robamba,63667,898559280434,Ecuador
1741 Hoshiarpur Boulevard,,al-Sharqiya,Bilbays,22372,855066328617,Egypt
1736 Cavite Place,,Qina,Idfu,98775,431770603551,Egypt
775 ostka Drive,,al-Daqahliya,Mit Ghamr,22358,171973024401,Egypt
765 Southampton Drive,,al-Qalyubiya,Qalyub,4285,23712411567,Egypt
1727 Matamoros Place,,Sawhaj,Sawhaj,78813,129673677866,Egypt
1987 Coacalco de Berriozbal Loop,,al-Qalyubiya,Shubra al-Khayma,96065,787654415858,Egypt
1289 Belm Boulevard,,Tartumaa,Tartu,88306,237368926031,Estonia
614 Pak Kret Street,,Addis Abeba,Addis Abeba,27796,47808359842,Ethiopia
1359 Zhoushan Parkway,,Streymoyar,Trshavn,29763,46568045367,Faroe Islands
898 Jining Lane,,Pohjois-Pohjanmaa,Oulu,40070,161643343536,Finland
1346 Mysore Drive,,Bretagne,Brest,61507,516647474029,France
1740 Le Mans Loop,,Pays de la Loire,Le Mans,22853,168476538960,France
1386 Yangor Avenue,,Provence-Alpes-Cte,Toulon,80720,449216226468,France
391 Callao Drive,,Midi-Pyrnes,Toulouse,34021,440512153169,France
698 Otsu Street,,Cayenne,Cayenne,71110,409983924481,French Guiana
1447 Imus Way,,Tahiti,Faaa,48942,539758313890,French Polynesia
1668 Saint Louis Place,,Tahiti,Papeete,39072,347487831378,French Polynesia
247 Jining Parkway,,Banjul,Banjul,53446,170115379190,Gambia
442 Rae Bareli Place,,Nordrhein-Westfalen,Duisburg,24321,886636413768,Germany
319 Springs Loop,,Baijeri,Erlangen,99552,72524459905,Germany
1966 Tonghae Street,,Anhalt Sachsen,Halle/Saale,36481,567359279425,Germany
1074 Binzhou Manor,,Baden-Wrttemberg,Mannheim,36490,331132568928,Germany
430 Alessandria Loop,,Saarland,Saarbrcken,47446,669828224459,Germany
1792 Valle de la Pascua Place,,Nordrhein-Westfalen,Siegen,15540,419419591240,Germany
68 Molodetno Manor,,Nordrhein-Westfalen,Witten,4662,146640639760,Germany
692 Joliet Street,,Attika,Athenai,83579,448477190408,Greece
1101 Bucuresti Boulevard,,West Greece,Patras,97661,199514580428,Greece
850 Salala Loop,,Kitaa,Nuuk,10800,403404780639,Greenland
18 Duisburg Boulevard,,,Citt del Vaticano,58327,998009777982,Holy See (Vatican City State)
1912 Allende Manor,,Kowloon and New Kowl,Kowloon and New Kowloon,58124,172262454487,Hong Kong
42 Fontana Avenue,,Fejr,Szkesfehrvr,14684,437829801725,Hungary
230 Urawa Drive,,Andhra Pradesh,Adoni,2738,166898395731,India
922 Vila Velha Loop,,Maharashtra,Ahmadnagar,4085,510737228015,India
431 Xiangtan Avenue,,Kerala,Allappuzha (Alleppey),4854,230250973122,India
1014 Loja Manor,,Tamil Nadu,Ambattur,66851,460795526514,India
949 Allende Lane,,Uttar Pradesh,Amroha,67521,122981120653,India
624 Oshawa Boulevard,,West Bengali,Balurghat,89959,49677664184,India
126 Acua Parkway,,West Bengali,Berhampore (Baharampur),58888,480039662421,India
97 Mogiljov Lane,,Gujarat,Bhavnagar,89294,924815207181,India
43 Dadu Avenue,,Rajasthan,Bhilwara,4855,95666951770,India
635 Brest Manor,,Andhra Pradesh,Bhimavaram,40899,80593242951,India
419 Iligan Lane,,Madhya Pradesh,Bhopal,72878,990911107354,India
642 Nador Drive,,Maharashtra,Bhusawal,3924,369050085652,India
1257 Guadalajara Street,,Karnataka,Bijapur,33599,195337700615,India
1540 Wroclaw Drive,,Maharashtra,Chandrapur,62686,182363341674,India
1747 Rustenburg Place,,Bihar,Chapra,51369,442673923363,India
495 Bhimavaram Lane,,Maharashtra,Dhule (Dhulia),3,82088937724,India
211 Chiayi Drive,,Uttar Pradesh,Etawah,58186,665993880048,India
9 San Miguel de Tucumn Manor,,Uttar Pradesh,Firozabad,90845,956188728558,India
1967 Sincelejo Place,,Gujarat,Gandhinagar,73644,577812616052,India
1049 Matamoros Parkway,,Karnataka,Gulbarga,69640,960505250340,India
435 0 Way,,West Bengali,Haldia,74750,760171523969,India
1027 Banjul Place,,West Bengali,Halisahar,50390,538241037443,India
791 Salinas Street,,Punjab,Hoshiarpur,40509,129953030512,India
788 Atinsk Street,,Karnataka,Hubli-Dharwad,81691,146497509724,India
81 Hodeida Way,,Rajasthan,Jaipur,55561,250767749542,India
176 Mandaluyong Place,,Uttar Pradesh,Jhansi,65213,627705991774,India
60 Poos de Caldas Street,,Rajasthan,Jodhpur,82338,963063788669,India
33 Gorontalo Way,,West Bengali,Kamarhati,30348,745994947458,India
1013 Tabuk Boulevard,,West Bengali,Kanchrapara,96203,158399646978,India
1884 Shikarpur Avenue,,Haryana,Karnal,85548,959949395183,India
1948 Bayugan Parkway,,Bihar,Katihar,60622,987306329957,India
1675 Xiangfan Manor,,Tamil Nadu,Kumbakonam,11763,271149517630,India
651 Pathankot Loop,,Maharashtra,Miraj,59811,139378397418,India
1425 Shikarpur Manor,,Bihar,Munger (Monghyr),65599,678220867005,India
1213 Ranchi Parkway,,Karnataka,Mysore,94352,800024380485,India
1963 Moscow Place,,Assam,Nagaon,64863,761379480249,India
1519 Ilorin Place,,Kerala,Palghat (Palakkad),49298,357445645426,India
41 El Alto Parkway,,Maharashtra,Parbhani,56883,51917807050,India
1697 Tanauan Lane,,Punjab,Pathankot,22870,4764773857,India
951 Stara Zagora Manor,,Punjab,Patiala,98573,429925609431,India
1661 Abha Drive,,Tamil Nadu,Pudukkottai,14400,270456873752,India
943 Johannesburg Avenue,,Maharashtra,Pune,5892,90921003005,India
1596 Acua Parkway,,Jharkhand,Purnea (Purnia),70425,157133457169,India
936 Salzburg Lane,,Uttar Pradesh,Rae Bareli,96709,875756771675,India
1447 Imus Place,,Gujarat,Rajkot,12905,62127829280,India
1920 Weifang Avenue,,Uttar Pradesh,Rampur,15643,869507847714,India
604 Bern Place,,Jharkhand,Ranchi,5373,620719383725,India
866 Shivapuri Manor,,Uttar Pradesh,Sambhal,22474,778502731092,India
45 Aparecida de Goinia Place,,Madhya Pradesh,Satna,7431,650496654258,India
1964 Gijn Manor,,Karnataka,Shimoga,14408,918119601885,India
57 Arlington Manor,,Madhya Pradesh,Shivapuri,48960,990214419142,India
1197 Sokoto Boulevard,,West Bengali,Siliguri (Shiliguri),87687,868602816371,India
1993 Tabuk Lane,,Tamil Nadu,Tambaram,64221,648482415405,India
1877 Ezhou Lane,,Rajasthan,Udaipur,63337,264541743403,India
1704 Tambaram Manor,,West Bengali,Uluberia,2834,39463554936,India
954 Kimchon Place,,West Bengali,Uttarpara-Kotrung,42420,541327526474,India
990 Etawah Loop,,Tamil Nadu,Valparai,79940,206169448769,India
117 Boa Vista Way,,Uttar Pradesh,Varanasi (Benares),6804,677976133614,India
758 Korolev Parkway,,Andhra Pradesh,Vijayawada,75474,441628280920,India
808 Bhopal Manor,,Haryana,Yamuna Nagar,10672,465887807014,India
1445 Carmen Parkway,,West Java,Cianjur,70809,598912394463,Indonesia
47 Syktyvkar Lane,,West Java,Ciomas,22236,63937119031,Indonesia
1860 Taguig Loop,,West Java,Ciparay,59550,38158430589,Indonesia
1688 Nador Lane,,Sulawesi Utara,Gorontalo,61613,652218196731,Indonesia
456 Escobar Way,,Jakarta Raya,Jakarta,36061,719202533520,Indonesia
1078 Stara Zagora Drive,,Aceh,Lhokseumawe,69221,932992626595,Indonesia
519 Brescia Parkway,,East Java,Madiun,69504,793996678771,Indonesia
1658 Cuman Loop,,Sumatera Selatan,Pangkal Pinang,51309,784907335610,Indonesia
544 Malm Parkway,,Central Java,Pemalang,63502,386759646229,Indonesia
1152 al-Qatif Lane,,Kalimantan Barat,Pontianak,44816,131370665218,Indonesia
154 Oshawa Manor,,East Java,Probolinggo,72771,440365973660,Indonesia
1003 Qinhuangdao Street,,West Java,Purwakarta,25972,35533115997,Indonesia
1947 Paarl Way,,Central Java,Surakarta,23636,834061016202,Indonesia
935 Aden Boulevard,,Central Java,Tegal,64709,335052544020,Indonesia
334 Munger (Monghyr) Lane,,Markazi,Arak,38145,481183273622,Iran
1531 Sal Drive,,Esfahan,Esfahan,53628,648856936185,Iran
220 Hidalgo Drive,,Kermanshah,Kermanshah,45298,342720754566,Iran
1922 Miraj Way,,Esfahan,Najafabad,13203,320471479776,Iran
76 Kermanshah Manor,,Esfahan,Qomsheh,23343,762361821578,Iran
927 Barcelona Street,,Chaharmahal va Bakht,Shahr-e Kord,65121,951486492670,Iran
956 Nam Dinh Manor,,Kerman,Sirjan,21872,474047727727,Iran
600 Bradford Street,,East Azerbaidzan,Tabriz,96204,117592274996,Iran
1208 Tama Loop,,Ninawa,Mosul,73605,954786054144,Iraq
659 Vaduz Drive,,Ha Darom,Ashdod,49708,709935135487,Israel
632 Usolje-Sibirskoje Parkway,,Ha Darom,Ashqelon,73085,667648979883,Israel
1542 Lubumbashi Boulevard,,Tel Aviv,Bat Yam,62472,508800331065,Israel
97 Shimoga Avenue,,Tel Aviv,Tel Aviv-Jaffa,44660,177167004331,Israel
127 Purnea (Purnia) Manor,,Piemonte,Alessandria,79388,911872220378,Italy
231 Kaliningrad Place,,Lombardia,Bergamo,57833,575081026569,Italy
1224 Huejutla de Reyes Boulevard,,Lombardia,Brescia,70923,806016930576,Italy
1 Valle de Santiago Avenue,,Apulia,Brindisi,86208,465897838272,Italy
379 Lublin Parkway,,Toscana,Livorno,74568,921960450089,Italy
1926 Gingoog Street,,Sisilia,Syrakusa,22824,469738825391,Italy
1986 Sivas Place,,Friuli-Venezia Giuli,Udine,95775,182059202712,Italy
923 Tangail Boulevard,,Tokyo-to,Akishima,33384,315528269898,Japan
928 Jaffna Loop,,Hiroshima,Fukuyama,93762,581852137991,Japan
446 Kirovo-Tepetsk Lane,,Osaka,Higashiosaka,19428,303967439816,Japan
345 Oshawa Boulevard,,Tokyo-to,Hino,32114,104491201771,Japan
1635 Kuwana Boulevard,,Hiroshima,Hiroshima,52137,710603868323,Japan
1949 Sanya Street,,Gumma,Isesaki,61244,132100972047,Japan
1148 Saarbrcken Parkway,,Fukushima,Iwaki,1921,137773001988,Japan
1964 Allappuzha (Alleppey) Street,,Yamaguchi,Iwakuni,48980,920811325222,Japan
168 Cianjur Manor,,Saitama,Iwatsuki,73824,679095087143,Japan
767 Pyongyang Drive,,Osaka,Izumisano,83536,667736124769,Japan
1287 Xiangfan Boulevard,,Gifu,Kakamigahara,57844,819416131190,Japan
586 Tete Way,,Kanagawa,Kamakura,1079,18581624103,Japan
1421 Quilmes Lane,,Ishikawa,Kanazawa,19151,135407755975,Japan
454 Patiala Lane,,Fukushima,Koriyama,13496,794553031307,Japan
61 Tama Street,,Okayama,Kurashiki,94065,708403338270,Japan
958 Sagamihara Lane,,Mie,Kuwana,88408,427274926505,Japan
619 Hunuco Avenue,,Shimane,Matsue,81508,142596392389,Japan
752 Ondo Loop,,Miyazaki,Miyakonojo,32474,134673576619,Japan
17 Kabul Boulevard,,Chiba,Nagareyama,38594,697760867968,Japan
591 Sungai Petani Drive,,Okayama,Okayama,46400,37247325001,Japan
1565 Tangail Manor,,Okinawa,Okinawa,45750,634445428822,Japan
1266 Laredo Parkway,,Saitama,Omiya,7664,1483365694,Japan
124 al-Manama Way,,Hiroshima,Onomichi,52368,647899404952,Japan
1336 Benin City Drive,,Shiga,Otsu,46044,341242939532,Japan
1542 Tarlac Parkway,,Kanagawa,Sagamihara,1027,635297277345,Japan
1913 Hanoi Way,,Nagasaki,Sasebo,35200,28303384290,Japan
786 Aurora Avenue,,Yamaguchi,Shimonoseki,65750,18461860151,Japan
102 Chapra Drive,,Ibaragi,Tama,14073,776031833752,Japan
1404 Taguig Drive,,Okayama,Tsuyama,87212,572068624538,Japan
496 Celaya Drive,,Nagano,Ueda,90797,759586584889,Japan
1337 Lincoln Parkway,,Saitama,Urawa,99457,597815221267,Japan
602 Paarl Street,,Pavlodar,Pavlodar,98889,896314772871,Kazakstan
521 San Juan Bautista Tuxtepec Place,,Qaraghandy,Zhezqazghan,95093,844018348565,Kazakstan
447 Surakarta Loop,,Nyanza,Kisumu,10428,940830176580,Kenya
1658 Jastrzebie-Zdrj Loop,,Central,Nyeri,96584,568367775448,Kenya
346 Skikda Parkway,,Hawalli,Jalib al-Shuyukh,90628,630424482919,Kuwait
1673 Tangail Drive,,Daugavpils,Daugavpils,26857,627924259271,Latvia
1780 Hino Boulevard,,Liepaja,Liepaja,7716,902731229323,Latvia
943 Tokat Street,,Vaduz,Vaduz,45428,889318963672,Liechtenstein
1059 Yuncheng Avenue,,Vilna,Vilnius,47498,107092893983,Lithuania
320 Baiyin Parkway,,Mahajanga,Mahajanga,37307,223664661973,Madagascar
710 San Felipe del Progreso Avenue,,Lilongwe,Lilongwe,76901,843801144113,Malawi
316 Uruapan Street,,Perak,Ipoh,58194,275788967899,Malaysia
1114 Liepaja Street,,Sarawak,Kuching,69226,212869228936,Malaysia
715 So Bernardo do Campo Lane,,Kedah,Sungai Petani,84804,181179321332,Malaysia
1789 Saint-Denis Parkway,,Coahuila de Zaragoza,Acua,8268,936806643983,Mexico
397 Sunnyvale Avenue,,Guanajuato,Allende,55566,680851640676,Mexico
125 Citt del Vaticano Boulevard,,Puebla,Atlixco,67912,48417642933,Mexico
1819 Alessandria Loop,,Campeche,Carmen,53829,377633994405,Mexico
1402 Zanzibar Boulevard,,Guanajuato,Celaya,71102,387448063440,Mexico
1473 Changhwa Parkway,,Mxico,Coacalco de Berriozbal,75933,266798132374,Mexico
1785 So Bernardo do Campo Street,,Veracruz,Coatzacoalcos,71182,684529463244,Mexico
1447 Chatsworth Place,,Chihuahua,Cuauhtmoc,41545,769370126331,Mexico
479 San Felipe del Progreso Avenue,,Morelos,Cuautla,54949,869051782691,Mexico
186 Skikda Lane,,Morelos,Cuernavaca,89422,14465669789,Mexico
814 Simferopol Loop,,Sinaloa,El Fuerte,48745,524567129902,Mexico
817 Laredo Avenue,,Jalisco,Guadalajara,77449,151249681135,Mexico
781 Shimonoseki Drive,,Michoacn de Ocampo,Hidalgo,95444,632316273199,Mexico
966 Asuncin Way,,Hidalgo,Huejutla de Reyes,62703,995527378381,Mexico
1002 Ahmadnagar Manor,,Mxico,Huixquilucan,93026,371490777743,Mexico
760 Miyakonojo Drive,,Guerrero,Jos Azueta,64682,294449058179,Mexico
433 Florencia Street,,Chihuahua,Jurez,91330,561729882725,Mexico
184 Mandaluyong Street,,Baja California Sur,La Paz,94239,488425406814,Mexico
146 Johannesburg Way,,Tamaulipas,Matamoros,54132,953689007081,Mexico
785 Vaduz Street,,Baja California,Mexicali,36170,895616862749,Mexico
1351 Sousse Lane,,Coahuila de Zaragoza,Monclova,37815,203804046132,Mexico
1107 Nakhon Sawan Avenue,,Mxico,Nezahualcyotl,75149,867546627903,Mexico
1698 Southport Loop,,Hidalgo,Pachuca de Soto,49009,754358349853,Mexico
144 South Hill Loop,,Guanajuato,Salamanca,2012,45387294817,Mexico
1145 Vilnius Manor,,Mxico,San Felipe del Progreso,73170,674805712553,Mexico
355 Vitria de Santo Anto Way,,Oaxaca,San Juan Bautista Tuxtepec,81758,548003849552,Mexico
261 Saint Louis Way,,Coahuila de Zaragoza,Torren,83401,321944036800,Mexico
251 Florencia Drive,,Michoacn de Ocampo,Uruapan,16119,118011831565,Mexico
86 Higashiosaka Lane,,Guanajuato,Valle de Santiago,33768,957128697225,Mexico
1088 Ibirit Place,,Jalisco,Zapopan,88502,49084281333,Mexico
269 Cam Ranh Parkway,,Chisinau,Chisinau,34689,489783829737,Moldova
454 Qinhuangdao Drive,,Tadla-Azilal,Beni-Mellal,25866,786270036240,Morocco
671 Graz Street,,Oriental,Nador,94399,680768868518,Morocco
28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,Sal,37551,161968374323,Morocco
771 Yaound Manor,,Sofala,Beira,86768,245477603573,Mozambique
596 Huixquilucan Place,,Nampula,Naala-Porto,65892,342709348083,Mozambique
1599 Plock Drive,,Tete,Tete,71986,817248913162,Mozambique
51 Laredo Avenue,,Sagaing,Monywa,68146,884536620568,Myanmar
1566 Inegl Manor,,Mandalay,Myingyan,53561,705814003527,Myanmar
962 Tama Loop,,,Yangor,65952,282667506728,Nauru
470 Boksburg Street,,Central,Birgunj,97960,908029859266,Nepal
992 Klerksdorp Loop,,Utrecht,Amersfoort,33711,855290087237,Netherlands
1749 Daxian Place,,Gelderland,Apeldoorn,11044,963369996279,Netherlands
1217 Konotop Avenue,,Gelderland,Ede,504,718917251754,Netherlands
